Law & Prop.Rights;Sound Money;Export trade freedom;Regulations;polity;Population total;Use of IMF credit (current USD) per capita;GDP per capita in USD;Gross tertiary education enrollment percent;Fuel exports (% of merchandise exports)
6.55;9.36;8.14;7.08;8;2310173;-0.000288;4128.638136;67.720779;1.47575
6.18;6.73;6.85;7.21;3;24401977;7.746872;4132.667741;27.40855;8.577719
5.69;9.38;8.24;6.76;10;3443067;-0.000193;4146.987928;61.272751;18.624999
6.5;8.86;7.74;7.42;8;1810438;3.577587;4149.041377;9.61199;0.041124
5.07;5.9;7.1;6.35;10;3083100;-0.000216;4171.741825;24.42164;1.295009
5.76;8.04;6.38;8.89;0;290751;92.587816;4187.23289;17.01107;16.547863
5.62;6.79;7.06;6.75;-88;10777500;38.899095;4187.543531;35.19931;16.787997
5.64;7.08;6.86;7.01;4;66548197;22.856773;4231.140368;48.64748;5.248805
4.84;8.64;7.73;7.68;9;2643601;21.95755;4238.315843;20.19018;7.443551
4.56;9.71;7.03;6.23;9;2900489;36.902743;4247.485437;55.500961;26.590781
5.5;7.07;6.5;9.24;0;313925;112.832683;4258.842876;22.865761;27.972454
3.09;5.14;5.81;5.2;6;26314483;-0.000025;4273.365372;41.537029;83.679429
3.95;6.1;7.14;6.08;5;14447600;3.510618;4274.940821;38.923611;61.715412
6.63;9.11;7.45;7.44;3;20725374;-0.000032;4280.016572;11.14905;6.996171
5.79;6.8;6.99;6.97;-88;10673800;39.234762;4298.091697;35.222889;14.555632
8.35;5.08;6.94;6.92;10;56225800;-0.000012;4299.745618;18.20717;4.118184
5.57;6.86;6.94;6.58;-88;10886500;52.562991;4309.991625;33.686508;15.216031
5.81;8.15;6.53;9.16;0;298403;94.761112;4324.831017;18.21641;28.208035
4.36;7.23;6.36;8.09;0;321609;108.19349;4344.136669;22.5795;36.152457
4.8;9.67;8.3;6.74;9;3260611;23.650169;4348.663487;43.078541;0.545751
5.41;9.4;6.85;6.58;9;2947314;51.581542;4370.539647;32.321308;21.814272
6.47;9.12;7.89;8.05;-3;6046000;42.574926;4370.721045;40.432671;1.100257
6.22;7.4;8.67;5.04;9;15343917;-0.000043;4375.357535;20.21756;94.013295
5.86;6.98;6.74;7.07;4;66453255;1.962086;4384.782675;47.732262;6.411846
5.71;8.03;7.38;7.3;10;2859174;48.968338;4387.707056;62.26881;41.673407
4.67;9.72;7.45;6.24;9;2897366;33.394124;4411.258241;58.529888;31.003052
6.26;7.02;6.79;7.34;3;24869423;8.308235;4431.239455;30.52997;10.115784
4.97;9.78;7.12;6.3;9;2904780;40.361404;4437.811999;47.742722;21.191947
6.26;8.89;7.7;6.22;10;4187039;8.800252;4441.41216;25.63912;0.075156
5.24;8.76;7.62;7.42;9;7699020;163.650439;4455.690224;45.819889;13.27591
5.71;8.18;6.6;9.21;0;306165;90.023353;4470.220796;19.282141;40.262314
7.6;6.24;7.55;5.76;10;10328965;-0.000064;4472.762698;22.18434;3.047428
4.44;7.17;5.75;5.33;2;36036159;51.205263;4473.486446;28.758249;97.345998
4.7;8.86;7.83;7.59;9;2653042;23.029413;4487.499707;20.13022;13.732128
3.99;6.84;5.52;5.61;10;703693;-0.000946;4488.287003;3.96423;8.107198
4.88;8.22;7.24;6.97;9;2681386;152.971635;4489.272772;25.218121;17.244394
6.5;7.49;7.35;6.2;9;38258629;-0.000017;4492.727604;50.285992;5.085214
6.53;9.2;9.15;7.1;9;1388115;-0.00048;4498.958704;60.377869;3.9063
6.25;7.89;6.68;6.01;-7;1337705000;8.046841;4514.94052;23.321529;1.688609
4.35;7.13;6.39;8.08;0;329193;105.375874;4517.123997;22.86338;42.851291
5.23;7.97;7.45;8.06;9;2062443;48.997233;4561.177546;37.074791;7.682248
5.28;7.96;7.48;7.93;9;2058920;49.962602;4566.341332;38.982861;1.117851
6.16;9.23;8.7;7.09;9;15544554;-0.000043;4566.523326;40.365898;1.210234
6.16;7.52;6.82;7.49;10;111940000;-0.000006;4581.574389;24.60175;0.394105
5.91;4.88;7.17;5.19;7;66060121;367.219839;4586.811203;29.835091;2.080427
7.01;7.16;7.68;7.19;10;10210971;-0.000065;4619.528633;35.931881;1.606094
5.75;9.53;6.74;7.02;10;1213370;19.281011;4623.351784;16.556;0.051634
5.24;9.55;8.1;6.77;9;3319301;18.510825;4659.023089;41.855068;0.736287
6.47;9.1;7.9;7.98;-3;6181000;41.51626;4665.954276;39.938931;0.190491
4.53;7.85;7;6.63;7;44374647;4.069373;4674.21171;32.963539;37.241412
4.58;7;6.44;8.08;0;336707;95.088608;4674.293377;25.78797;27.368778
5.47;8.3;7.79;6.68;9;21319685;17.330228;4676.315183;44.903782;10.642142
6.42;6.61;7.62;5.85;10;38418817;-0.000017;4693.075589;26.64852;8.836189
4.43;6.19;6.65;6.21;8;38728778;-0.000017;4696.070111;65.358368;15.993553
5.35;8.18;7.68;8.13;9;2069270;195.054778;4709.511628;38.45752;6.43898
4.58;7.04;6.41;8.09;0;344193;82.694883;4719.137955;25.91641;21.239146
3.75;5.56;7.91;6.05;7;24481477;-0.000027;4785.153059;28.25935;86.140397
6.6;3.35;5.79;4.49;-5;4669000;-0.000143;4794.937213;25.78603;8.559297
6.5;6.69;6.81;4.68;7;5361999;-0.000124;4799.151051;18.60165;4.266768
5.61;6.96;5.34;3.87;8;9934300;-0.000067;4813.71118;22.7592;12.044876
6.51;9.17;7.46;7.8;8;1835750;3.687866;4879.459462;9.24167;0.035229
6.54;9.22;7.9;7.72;-3;6318000;101.639285;4896.688447;46.60965;0.288078
4.88;7.98;7.2;7.32;9;2690824;441.574774;4902.034731;28.934891;22.688775
7.58;7.88;6.1;6.16;8;4426000;-0.00015;4919.628069;30.99629;10.975042
6.68;6.74;6.83;7.37;3;25332026;8.524506;4924.585852;29.96664;11.5766
4.33;5.57;5.4;6.48;-4;1318093;60.32503;4929.322637;8.5306;17.594056
6.63;9.43;8.84;7.4;9;15729268;-0.000042;4948.74818;42.71669;2.763039
5.94;6.58;6.42;7.1;-7;8947243;33.81578;4950.294791;19.057711;92.856863
5.78;7.82;7.06;5.84;9;38248076;-0.000017;4981.198619;55.448631;5.650863
6.75;8.65;7.91;7;8;14193986;-0.000047;5026.720634;28.33411;0.257034
5.1;9.27;8.63;7.49;9;29373644;31.97608;5056.303131;40.64798;12.176153
5.21;9.45;8.18;6.93;9;3378600;16.173267;5072.219262;42.886459;0.773393
5.35;7.06;6.83;6.84;4;66692024;22.405063;5111.909202;50.025532;4.836521
6.71;8.42;6.81;7.23;8;2007212;44.856248;5115.119247;19.057341;0.315765
5.68;9.49;7.96;7.34;10;1228254;18.320315;5116.039642;21.335859;0.000653
5;7.66;7.64;6.52;9;2671934;23.411881;5119.344953;25.304199;18.27629
6.23;9.22;8.18;7.11;8;2287955;-0.000291;5128.97182;72.401451;1.382262
4.28;8.13;6.88;6.8;7;45416276;25.485621;5148.411344;36.95747;50.721914
5.63;8;7.35;6.79;10;38230364;-0.000017;5196.932921;58.400311;4.944517
5.57;8.18;7.84;6.43;10;3325608;-0.0002;5220.957396;45.324589;4.855352
4.98;8.76;7.37;7.91;9;2714734;456.575856;5226.090903;28.73793;24.025511
6.53;9.3;7.93;7.21;9;15170387;-0.000044;5229.177098;37.185059;1.137423
5.01;9.43;6.66;7.41;10;1221003;20.02534;5229.873567;17.82233;0.088048
5.16;7.92;6.41;6.23;8;4440000;-0.00015;5245.421419;33.510159;10.223866
